employee_id,license_number,commission_rate,specialization
1,CT-439902,0.0275,rentals
2,NY-217301,0.025,luxury
3,NJ-351083,0.02,rentals
4,NY-694916,0.02,rentals
5,NY-867460,0.0275,mixed-use
6,NY-897549,0.03,rentals
7,NY-234628,0.035,mixed-use
8,NJ-676510,0.0225,mixed-use
9,NJ-653306,0.03,sales
10,NJ-322086,0.03,sales
11,CT-823378,0.0225,sales
12,CT-426858,0.0275,sales
13,CT-781446,0.025,sales
14,NJ-642717,0.0275,residential
15,NY-359947,0.0225,sales
16,NY-454508,0.02,rentals
17,CT-680828,0.0225,residential
18,CT-330914,0.02,sales
19,NY-842225,0.035,residential
20,NY-340062,0.02,sales
21,NY-446479,0.02,sales
22,CT-349565,0.025,residential
23,CT-608993,0.0225,luxury
24,CT-238739,0.035,mixed-use
25,CT-704201,0.0275,residential
26,NY-922733,0.0275,residential
27,NJ-299659,0.02,sales
28,NY-790993,0.0275,sales
29,NJ-544154,0.0275,residential
30,NJ-864491,0.02,residential
31,CT-785197,0.035,mixed-use
32,NY-163556,0.0275,rentals
33,CT-455784,0.02,rentals
34,NY-300896,0.0225,residential
35,CT-570405,0.0225,rentals
36,NJ-292401,0.025,mixed-use
37,NJ-361941,0.02,residential
38,NJ-947272,0.03,rentals
39,NY-153045,0.035,residential
40,CT-976638,0.02,residential
41,NY-890170,0.0225,sales
42,NY-526156,0.0275,mixed-use
43,NJ-324130,0.0275,rentals
44,NY-272634,0.0275,residential
45,NY-509386,0.025,rentals
46,NJ-399105,0.0275,mixed-use
47,CT-865990,0.03,rentals
48,CT-853305,0.0275,sales
49,NY-299122,0.025,mixed-use
50,NY-161324,0.03,sales
51,CT-668532,0.02,rentals
52,CT-428838,0.02,mixed-use
53,NY-712554,0.0275,mixed-use
54,CT-994141,0.03,luxury
55,NY-159642,0.03,luxury
56,NY-992697,0.0225,rentals
57,NY-723939,0.02,sales
58,CT-346629,0.0275,rentals
59,NY-697347,0.0225,residential
60,CT-723398,0.02,residential
61,CT-185965,0.0275,residential
62,CT-712024,0.03,residential
63,CT-431737,0.025,sales
64,NY-802258,0.035,rentals
65,NJ-350280,0.025,sales
66,NJ-237235,0.035,rentals
67,CT-414569,0.0275,rentals
68,NJ-888387,0.02,mixed-use
69,NY-580547,0.03,rentals
70,CT-204837,0.02,sales
71,CT-323508,0.03,sales
72,NJ-238890,0.025,residential
